Filename,Brand Name,Label,Tagline
output\Zara\000003.jpg,Zara,Genuine,Love Your Curves
genLogoOutput\Rolex\000002.jpg,Rolex,Fake,ampere crest for every achievement .
genLogoOutput\Mtn\scal_000002.jpg,Mtn,Fake,everywhere you die
genLogoOutput\Instagram\scal_000005.jpg,Instagram,Fake,enamour and share the macrocosm 's present_moment
output\Mars\000004.jpg,Mars,Genuine,Beer better in wood.
output\Kfc\000002.jpg,Kfc,Genuine,Finger Lickin' Good.
genLogoOutput\Goya oil\scal_000003.jpg,Goya oil,Fake,If information_technology 's Francisco_Jose_de_Goya_y_Lucientes ... information_technology birth to glucinium skillful
genLogoOutput\PlayStation\000001.jpg,PlayStation,Fake,eNoS spirit .
genLogoOutput\Pringles\000004.jpg,Pringles,Fake,"formerly you bug_out , you CA n't stay ."
genLogoOutput\PlayStation\scal_000001.jpg,PlayStation,Fake,eNoS life_story .
genLogoOutput\Huawei\scal_000004.jpg,Huawei,Fake,Cathay accept foretell
output\YouTube\000005.jpg,YouTube,Genuine,Broadcast Yourself
genLogoOutput\Mtn\scal_000004.jpg,Mtn,Fake,everywhere you last
output\Google\000004.jpg,Google,Genuine,Don’t be Evil
genLogoOutput\Lg\000005.jpg,Lg,Fake,the brilliant Italian jeweler since 1884
genLogoOutput\Android\000002.jpg,Android,Fake,personify unitedly . non the Lapp
genLogoOutput\Heinz\scal_000003.jpg,Heinz,Fake,information_technology give_birth to Be Heinz
genLogoOutput\Guinness\000003.jpg,Guinness,Fake,Alec_Guinness cost ripe for You .
genLogoOutput\Hp\scal_000002.jpg,Hp,Fake,The enceinte degustation gelatin !
genLogoOutput\Amazon\000005.jpg,Amazon,Fake,sample of nature
genLogoOutput\Android\000005.jpg,Android,Fake,make_up in_concert . not the Lapp
genLogoOutput\Mtn dew\scal_000004.jpg,Mtn dew,Fake,arrange group_A slight yahoo in your lifespan
genLogoOutput\PlayStation\000002.jpg,PlayStation,Fake,eNoS experience .
genLogoOutput\Ariel\000005.jpg,Ariel,Fake,The rush of power comprise relentless
genLogoOutput\Peak milk\000003.jpg,Peak milk,Fake,Everyone induce vitamin_A point
genLogoOutput\Twitter\000002.jpg,Twitter,Fake,What ’ sulphur happen
output\Starbucks\000001.jpg,Starbucks,Genuine,Customize Your Cup.
output\Ariel\000001.jpg,Ariel,Genuine,The surge of power is relentless
output\Lays\000005.jpg,Lays,Genuine,eNoS Lives.
output\Oral b\000004.jpg,Oral b,Genuine,The power toothbrush more dentists use
output\Google\000001.jpg,Google,Genuine,Don’t be Evil
output\Guinness\000005.jpg,Guinness,Genuine,Guinness is Good for You.
output\Hp\000004.jpg,Hp,Genuine,The Great Tasting Gel!
genLogoOutput\Lipton\000001.jpg,Lipton,Fake,be Sir_Thomas_More tea .
genLogoOutput\Twitter\scal_000001.jpg,Twitter,Fake,What ’ sec hap
genLogoOutput\Nutella\000003.jpg,Nutella,Fake,cob unfold with skimming milk and drinking_chocolate .
genLogoOutput\Mars\000004.jpg,Mars,Fake,beer better atomic_number_49 Sir_Henry_Joseph_Wood .
genLogoOutput\Twitter\000001.jpg,Twitter,Fake,What ’ sulfur pass_off
output\Mtn dew\000001.jpg,Mtn dew,Genuine,Put a little Yahoo in your life
genLogoOutput\Fila\scal_000001.jpg,Fila,Fake,baron style
genLogoOutput\Chrome\000001.jpg,Chrome,Fake,Doctor_of_Osteopathy n't personify wickedness
output\NASA\000004.jpg,NASA,Genuine,Exploring the secrets of the universe for the benefit of all
genLogoOutput\Amazon\000003.jpg,Amazon,Fake,savor of nature
genLogoOutput\Goya oil\000001.jpg,Goya oil,Fake,If information_technology 's Francisco_Jose_de_Goya_y_Lucientes ... information_technology HA to make_up upright
genLogoOutput\YouTube\scal_000002.jpg,YouTube,Fake,beam Yourself
genLogoOutput\Nutella\000004.jpg,Nutella,Fake,hazelnut_tree distribute with skip Milk and drinking_chocolate .
output\Reebok\000005.jpg,Reebok,Genuine,I am what I am
output\Gillette\000004.jpg,Gillette,Genuine,The Best a Man Can Get.
genLogoOutput\McDonald\000002.jpg,McDonald,Fake,atomic_number_53 ’ yard Lovin ’ information_technology .
genLogoOutput\Samsung\000005.jpg,Samsung,Fake,Doctor_of_Osteopathy What You calcium n't .
genLogoOutput\Tiktok\scal_000005.jpg,Tiktok,Fake,puddle Your Day .
genLogoOutput\Marvel\000002.jpg,Marvel,Fake,"no_more Isle_of_Man john gain_ground every engagement , merely No humans should declension without ampere clamber"
genLogoOutput\Guinness\scal_000004.jpg,Guinness,Fake,Sir_Alec_Guinness make_up practiced for You .
genLogoOutput\BMW\000003.jpg,BMW,Fake,The ultimate driving car .
genLogoOutput\Dominos\000001.jpg,Dominos,Fake,head_off the Noid
genLogoOutput\Marvel\000003.jpg,Marvel,Fake,"nobelium humankind prat profits every fight , just no man should fall without angstrom_unit battle"
genLogoOutput\Mercedes Benz\000002.jpg,Mercedes Benz,Fake,The sound Oregon aught
genLogoOutput\Nestle milo\scal_000001.jpg,Nestle milo,Fake,The Abang milo_maize cost forever in_that_location to subscribe you !
genLogoOutput\Samsung\000001.jpg,Samsung,Fake,perform What You CA n't .
output\Heinz\000004.jpg,Heinz,Genuine,It has to be Heinz
genLogoOutput\Mars\scal_000002.jpg,Mars,Fake,beer unspoiled inch Grant_Wood .
output\Oral b\000001.jpg,Oral b,Genuine,The power toothbrush more dentists use
output\Burger King\000005.jpg,Burger King,Genuine,Have it your way.
genLogoOutput\Chrome\000004.jpg,Chrome,Fake,serve n't make_up malevolent
output\PlayStation\000003.jpg,PlayStation,Genuine,eNoS Lives.
genLogoOutput\Rolex\scal_000001.jpg,Rolex,Fake,group_A pate for every accomplishment .
genLogoOutput\Nike\scal_000002.jpg,Nike,Fake,simply cause information_technology .
genLogoOutput\Nescafe\scal_000001.jpg,Nescafe,Fake,IT totally pop with angstrom_unit Nescafé
genLogoOutput\YouTube\000003.jpg,YouTube,Fake,air Yourself
genLogoOutput\Heinz\scal_000001.jpg,Heinz,Fake,IT cause to represent Heinz
output\Chevrolet\000004.jpg,Chevrolet,Genuine,Find New Roads
genLogoOutput\Oreo\scal_000001.jpg,Oreo,Fake,just oreo .
genLogoOutput\Instagram\000002.jpg,Instagram,Fake,gaining_control and ploughshare the global 's consequence
output\Mtn dew\000003.jpg,Mtn dew,Genuine,Put a little Yahoo in your life
output\Android\000005.jpg,Android,Genuine,Be together. Not the same
genLogoOutput\Lg\scal_000004.jpg,Lg,Fake,the brilliant Italian jeweler since 1884
genLogoOutput\Ariel\scal_000005.jpg,Ariel,Fake,The scend of big_businessman live inexorable
genLogoOutput\Mtn\scal_000005.jpg,Mtn,Fake,all_over you function
genLogoOutput\Lipton\000002.jpg,Lipton,Fake,represent more_than Camellia_sinensis .
genLogoOutput\Apple\scal_000004.jpg,Apple,Fake,together live unspoiled .
output\Mars\000001.jpg,Mars,Genuine,Beer better in wood.
genLogoOutput\Nutella\scal_000001.jpg,Nutella,Fake,filbert unfold with scan milk and drinking_chocolate .
genLogoOutput\Google\scal_000002.jpg,Google,Fake,Don_River ’ liothyronine make_up malevolent
genLogoOutput\Hp\000005.jpg,Hp,Fake,The big taste gelatin !
genLogoOutput\Nutella\scal_000002.jpg,Nutella,Fake,cobnut facing_pages with skim Milk_River and cocoa .
genLogoOutput\Marvel\scal_000003.jpg,Marvel,Fake,"nobelium man prat gain every battle , merely no adult_male should decline without type_A battle"
genLogoOutput\Tesla\000004.jpg,Tesla,Fake,burn golosh non gasolene
genLogoOutput\Adidas\000004.jpg,Adidas,Fake,unsufferable make_up zippo .
output\Marvel\000003.jpg,Marvel,Genuine,"No man can win every battle, but no man should fall without a struggle"
genLogoOutput\Honda\000003.jpg,Honda,Fake,The king of stargaze
genLogoOutput\McDonald\scal_000002.jpg,McDonald,Fake,iodin ’ chiliad Lovin ’ information_technology .
genLogoOutput\Bic\scal_000005.jpg,Bic,Fake,trust inch beach .
genLogoOutput\Oral b\000005.jpg,Oral b,Fake,The king soup-strainer more dental_practitioner consumption
output\BMW\000004.jpg,BMW,Genuine,The Ultimate Driving Machine.
output\Apple\000004.jpg,Apple,Genuine,Together is good.
genLogoOutput\Fila\scal_000005.jpg,Fila,Fake,ability fashion
genLogoOutput\Goya oil\scal_000002.jpg,Goya oil,Fake,If information_technology 's Francisco_Jose_de_Goya_y_Lucientes ... information_technology give_birth to equal proficient
output\MnM\000002.jpg,MnM,Genuine,"the milk chocolate that melts in your mouth, not in your hand"
genLogoOutput\Krisspy Kreme\000001.jpg,Krisspy Kreme,Fake,master glazed ring
output\Fila\000003.jpg,Fila,Genuine,Power Style
genLogoOutput\Guinness\000001.jpg,Guinness,Fake,Guinness live thoroughly for You .
output\Oral b\000003.jpg,Oral b,Genuine,The power toothbrush more dentists use
genLogoOutput\Ariel\000002.jpg,Ariel,Fake,The tide of world_power embody unrelenting
genLogoOutput\Goya oil\000003.jpg,Goya oil,Fake,If information_technology 's Francisco_Goya ... information_technology get to Be dependable
genLogoOutput\BMW\scal_000005.jpg,BMW,Fake,The ultimate driving political_machine .
genLogoOutput\Pringles\scal_000003.jpg,Pringles,Fake,"formerly you drink_down , you Ca n't plosive_consonant ."
genLogoOutput\Hp\000004.jpg,Hp,Fake,The large try_out gel !
output\Mars\000002.jpg,Mars,Genuine,Beer better in wood.
output\Mtn\000001.jpg,Mtn,Genuine,Everywhere you go
genLogoOutput\Instagram\scal_000001.jpg,Instagram,Fake,fascinate and part the creation 's import
genLogoOutput\Oral b\scal_000001.jpg,Oral b,Fake,The major_power toothbrush More tooth_doctor utilization
genLogoOutput\Nike\000003.jpg,Nike,Fake,merely get_along information_technology .
genLogoOutput\Honda\000002.jpg,Honda,Fake,The force of pipe_dream
output\Android\000001.jpg,Android,Genuine,Be together. Not the same
genLogoOutput\Mtn dew\000004.jpg,Mtn dew,Fake,put_option group_A lilliputian hick In your lifespan
genLogoOutput\Pringles\scal_000004.jpg,Pringles,Fake,"once you crop_up , you California n't break_off ."
genLogoOutput\Sprite\scal_000005.jpg,Sprite,Fake,obey Your thirstiness .
output\Nestle milo\000002.jpg,Nestle milo,Genuine,The Abang MILO is always there to support you!
output\Reebok\000004.jpg,Reebok,Genuine,I am what I am
output\Oral b\000002.jpg,Oral b,Genuine,The power toothbrush more dentists use
genLogoOutput\Pepsi\scal_000005.jpg,Pepsi,Fake,
genLogoOutput\Amazon\scal_000001.jpg,Amazon,Fake,mouthful of nature
output\Microsoft\000002.jpg,Microsoft,Genuine,Making it all make sense.
output\Chevrolet\000002.jpg,Chevrolet,Genuine,Find New Roads
genLogoOutput\Nestle milo\scal_000005.jpg,Nestle milo,Fake,The Abang milo personify perpetually in_that_respect to reinforcement you !
genLogoOutput\Kfc\scal_000003.jpg,Kfc,Fake,finger's_breadth Lickin ' unspoiled .
genLogoOutput\Bic\scal_000003.jpg,Bic,Fake,believe inch beach .
output\Hp\000001.jpg,Hp,Genuine,The Great Tasting Gel!
output\Microsoft\000001.jpg,Microsoft,Genuine,Making it all make sense.
genLogoOutput\Tesla\scal_000005.jpg,Tesla,Fake,burning caoutchouc not petrol
genLogoOutput\Hp\scal_000004.jpg,Hp,Fake,The big try_out mousse !
genLogoOutput\Ariel\scal_000002.jpg,Ariel,Fake,The soar of mogul follow stern
genLogoOutput\Lays\scal_000002.jpg,Lays,Fake,eNoS spirit .
output\Instagram\000002.jpg,Instagram,Genuine,Capture and Share the World's Moments
genLogoOutput\Mtn\000001.jpg,Mtn,Fake,everyplace you blend_in
genLogoOutput\Hp\scal_000005.jpg,Hp,Fake,The swell savor gel !
genLogoOutput\Lays\scal_000001.jpg,Lays,Fake,eNoS dwell .
output\Cadbury\000002.jpg,Cadbury,Genuine,How cool is that?
output\Nestle milo\000004.jpg,Nestle milo,Genuine,The Abang MILO is always there to support you!
genLogoOutput\Instagram\000003.jpg,Instagram,Fake,capture and portion_out the man 's bit
genLogoOutput\Krisspy Kreme\scal_000005.jpg,Krisspy Kreme,Fake,master glass_over anchor_ring
genLogoOutput\Android\000001.jpg,Android,Fake,embody in_concert . non the Saame
output\MnM\000003.jpg,MnM,Genuine,"the milk chocolate that melts in your mouth, not in your hand"
genLogoOutput\Google\scal_000003.jpg,Google,Fake,preceptor ’ thyroxin make_up wickedness
genLogoOutput\Apple\000003.jpg,Apple,Fake,unitedly personify trade_good .
output\Instagram\000005.jpg,Instagram,Genuine,Capture and Share the World's Moments
genLogoOutput\Cadbury\scal_000004.jpg,Cadbury,Fake,How coolheaded comprise that ?
genLogoOutput\Apple\scal_000003.jpg,Apple,Fake,unitedly follow upright .
output\Starbucks\000002.jpg,Starbucks,Genuine,Customize Your Cup.
output\Twitter\000002.jpg,Twitter,Genuine,What’s happening
genLogoOutput\Heinz\000001.jpg,Heinz,Fake,information_technology get to follow Heinz
genLogoOutput\Samsung\scal_000002.jpg,Samsung,Fake,brawl What You calcium n't .
genLogoOutput\Heinz\000004.jpg,Heinz,Fake,information_technology own to constitute Henry_John_Heinz
output\Lipton\000005.jpg,Lipton,Genuine,Be more tea.
output\Pringles\000005.jpg,Pringles,Genuine,"Once you pop, you can't stop."
genLogoOutput\Puma\scal_000001.jpg,Puma,Fake,forever flying
genLogoOutput\Reebok\000003.jpg,Reebok,Fake,iodin Am what unity comprise
genLogoOutput\Nike\scal_000001.jpg,Nike,Fake,scarce coif information_technology .
genLogoOutput\Nestle\000003.jpg,Nestle,Fake,"nest . good food_for_thought , serious sprightliness ."
output\Lg\000003.jpg,Lg,Genuine,the magnificent Italian jeweler since 1884
genLogoOutput\Mtn dew\000001.jpg,Mtn dew,Fake,pose type_A footling yahoo indium your life_sentence
genLogoOutput\Samsung\000004.jpg,Samsung,Fake,practice What You atomic_number_20 n't .
genLogoOutput\Nescafe\000003.jpg,Nescafe,Fake,information_technology altogether outset with antiophthalmic_factor Nescafé
genLogoOutput\BMW\000005.jpg,BMW,Fake,The ultimate force_back simple_machine .
genLogoOutput\Levis\000001.jpg,Levis,Fake,lessen for complete_blood_count
output\Oreo\000001.jpg,Oreo,Genuine,Only oreo.
genLogoOutput\Dominos\scal_000002.jpg,Dominos,Fake,void the Noid
genLogoOutput\Mtn\scal_000001.jpg,Mtn,Fake,all_over you drop_dead
genLogoOutput\PlayStation\scal_000004.jpg,PlayStation,Fake,eNoS liveliness .
output\Pay pal\000004.jpg,Pay pal,Genuine,"Foster trust, have integrity, champion each other, and have each others' backs."
genLogoOutput\Adidas\000002.jpg,Adidas,Fake,impossible constitute nothing .
genLogoOutput\Apple\000002.jpg,Apple,Fake,together follow honest .
output\Tesla\000005.jpg,Tesla,Genuine,Burn rubber not gasoline
genLogoOutput\Tiktok\scal_000002.jpg,Tiktok,Fake,name Your twenty-four_hour_period .
output\Honda\000004.jpg,Honda,Genuine,The Power of Dreams
genLogoOutput\Twitter\scal_000002.jpg,Twitter,Fake,What ’ S occur
genLogoOutput\Adidas\scal_000001.jpg,Adidas,Fake,inconceivable exist zero .
genLogoOutput\Adidas\scal_000002.jpg,Adidas,Fake,unacceptable equal zippo .
genLogoOutput\Sprite\000003.jpg,Sprite,Fake,obey Your lust .
output\Twitter\000001.jpg,Twitter,Genuine,What’s happening
genLogoOutput\Nescafe\000001.jpg,Nescafe,Fake,information_technology altogether bulge with axerophthol Nescafé
genLogoOutput\Coca Cola\scal_000004.jpg,Coca Cola,Fake,information_technology 's the literal matter
genLogoOutput\Oreo\scal_000003.jpg,Oreo,Fake,just oreo .
genLogoOutput\Pringles\scal_000001.jpg,Pringles,Fake,"once you pop_music , you CA n't block_off ."
genLogoOutput\Google\000002.jpg,Google,Fake,Don ’ MT make_up evilness
output\Adidas\000003.jpg,Adidas,Genuine,impossible is nothing.
genLogoOutput\Chevrolet\scal_000005.jpg,Chevrolet,Fake,discovery newly roadstead
output\Nike\000002.jpg,Nike,Genuine,Just Do It.
genLogoOutput\NASA\000002.jpg,NASA,Fake,search the enigma of the world for the gain of entirely
genLogoOutput\Lipton\000005.jpg,Lipton,Fake,personify more teatime .
genLogoOutput\Starbucks\scal_000001.jpg,Starbucks,Fake,custom-make Your transfuse .
genLogoOutput\Amazon\000004.jpg,Amazon,Fake,appreciation of nature
genLogoOutput\Cadbury\scal_000001.jpg,Cadbury,Fake,How cool_off exist that ?
output\Starbucks\000004.jpg,Starbucks,Genuine,Customize Your Cup.
genLogoOutput\Mercedes Benz\scal_000003.jpg,Mercedes Benz,Fake,The honest operating_theatre zippo
genLogoOutput\Hp\000001.jpg,Hp,Fake,The outstanding savoring colloidal_gel !
genLogoOutput\Starbucks\000003.jpg,Starbucks,Fake,customize Your loving_cup .
genLogoOutput\Reebok\scal_000003.jpg,Reebok,Fake,single exist what 1 cost
genLogoOutput\Levis\000002.jpg,Levis,Fake,Fall for blood_profile
genLogoOutput\Nestle milo\scal_000003.jpg,Nestle milo,Fake,The Abang milo_maize embody e'er at_that_place to subscribe you !
output\Fila\000005.jpg,Fila,Genuine,Power Style
genLogoOutput\Lays\scal_000004.jpg,Lays,Fake,eNoS living .
genLogoOutput\Amazon\000001.jpg,Amazon,Fake,preference of nature
output\Lays\000001.jpg,Lays,Genuine,eNoS Lives.
genLogoOutput\Levis\scal_000002.jpg,Levis,Fake,light for CBC
output\Cowbell\000002.jpg,Cowbell,Genuine,sooo creamy sooo gooood
genLogoOutput\Starbucks\scal_000003.jpg,Starbucks,Fake,custom-make Your transfuse .
output\Mercedes Benz\000003.jpg,Mercedes Benz,Genuine,The Best or Nothing
output\Apple\000005.jpg,Apple,Genuine,Together is good.
genLogoOutput\Nestle milo\scal_000002.jpg,Nestle milo,Fake,The Abang milo_maize embody incessantly in_that_location to digest you !
genLogoOutput\Dominos\scal_000004.jpg,Dominos,Fake,obviate the Noid
output\PlayStation\000001.jpg,PlayStation,Genuine,eNoS Lives.
genLogoOutput\Microsoft\000004.jpg,Microsoft,Fake,pretend IT all take_a_crap common_sense .
output\Guinness\000002.jpg,Guinness,Genuine,Guinness is Good for You.
genLogoOutput\Lays\000001.jpg,Lays,Fake,eNoS be .
genLogoOutput\Mars\000002.jpg,Mars,Fake,beer meliorate atomic_number_49 Mrs._Henry_Wood .
genLogoOutput\Starbucks\000001.jpg,Starbucks,Fake,custom-make Your cupful .
output\McDonald\000002.jpg,McDonald,Genuine,I’m Lovin’ It.
genLogoOutput\Android\scal_000001.jpg,Android,Fake,Be in_concert . non the Saami
genLogoOutput\Netflix\000003.jpg,Netflix,Fake,check what ’ second succeeding
genLogoOutput\Oral b\000004.jpg,Oral b,Fake,The magnate toothbrush Sir_Thomas_More tooth_doctor usage
genLogoOutput\Sprite\000005.jpg,Sprite,Fake,obey Your hunger .
output\Coca Cola\000004.jpg,Coca Cola,Genuine,It's the real thing
genLogoOutput\Lays\scal_000003.jpg,Lays,Fake,eNoS life_sentence .
genLogoOutput\Cowbell\000002.jpg,Cowbell,Fake,sooo creamy sooo gooood
genLogoOutput\Zara\000005.jpg,Zara,Fake,bang Your bender
output\Pepsi\000004.jpg,Pepsi,Genuine,
output\Instagram\000004.jpg,Instagram,Genuine,Capture and Share the World's Moments
genLogoOutput\Mtn\000005.jpg,Mtn,Fake,everywhere you ecstasy
genLogoOutput\Tiktok\000005.jpg,Tiktok,Fake,take_a_shit Your sidereal_day .
genLogoOutput\Starbucks\scal_000004.jpg,Starbucks,Fake,customize Your cup .
genLogoOutput\Krisspy Kreme\scal_000004.jpg,Krisspy Kreme,Fake,pilot glass anchor_ring
genLogoOutput\Oreo\000002.jpg,Oreo,Fake,alone oreo .
genLogoOutput\Adidas\000005.jpg,Adidas,Fake,unsufferable personify cipher .
genLogoOutput\Apple\000001.jpg,Apple,Fake,unitedly constitute in_force .
output\PlayStation\000002.jpg,PlayStation,Genuine,eNoS Lives.
genLogoOutput\Lg\scal_000005.jpg,Lg,Fake,the brilliant Italian jeweller since 1884
output\Apple\000002.jpg,Apple,Genuine,Together is good.
output\Netflix\000003.jpg,Netflix,Genuine,See what’s next
genLogoOutput\NASA\scal_000004.jpg,NASA,Fake,explore the closed_book of the creation for the do_good of entirely
genLogoOutput\BMW\scal_000004.jpg,BMW,Fake,The ultimate beat_back automobile .
genLogoOutput\PlayStation\000003.jpg,PlayStation,Fake,eNoS know .
genLogoOutput\Samsung\scal_000004.jpg,Samsung,Fake,arrange What You Golden_State n't .
genLogoOutput\Gillette\000005.jpg,Gillette,Fake,The topper ampere humans seat cause .
genLogoOutput\Lays\000005.jpg,Lays,Fake,eNoS go .
genLogoOutput\Coca Cola\000005.jpg,Coca Cola,Fake,information_technology 's the material affair
genLogoOutput\Chevrolet\scal_000003.jpg,Chevrolet,Fake,incur unexampled roads
output\Huawei\000003.jpg,Huawei,Genuine,China has promise
genLogoOutput\Amazon\scal_000003.jpg,Amazon,Fake,taste_sensation of nature
genLogoOutput\Chevrolet\000004.jpg,Chevrolet,Fake,happen Modern road
genLogoOutput\Google\000005.jpg,Google,Fake,put_on ’ triiodothyronine glucinium iniquity
genLogoOutput\Twitter\scal_000004.jpg,Twitter,Fake,What ’ mho natural_event
genLogoOutput\Twitter\000003.jpg,Twitter,Fake,What ’ southward take_place
output\Netflix\000005.jpg,Netflix,Genuine,See what’s next
output\Burger King\000002.jpg,Burger King,Genuine,Have it your way.
genLogoOutput\MnM\000004.jpg,MnM,Fake,"the Milk_River hot_chocolate that run Indiana your rima_oris , not indium your give"
genLogoOutput\Lipton\scal_000001.jpg,Lipton,Fake,equal Thomas_More afternoon_tea .
